Date,polarity,nlp_signal
11/7/17,0,0
11/8/17,0,0
11/9/17,0,0
11/10/17,0.533333333,1
11/13/17,0.016666667,1
11/14/17,0,0
11/15/17,0.5,1
11/16/17,0.4,1
11/17/17,0.375,1
11/20/17,0,0
11/21/17,0,0
11/22/17,0,0
11/24/17,0,0
11/27/17,0,0
11/28/17,0,0
11/29/17,0.375,1
11/30/17,0,0
12/1/17,0.375,1
12/4/17,0,0
12/5/17,0.016666667,1
12/6/17,0.318181818,1
12/7/17,0.55,1
12/8/17,0,0
12/11/17,0,0
12/12/17,0,0
12/13/17,0,0
12/14/17,1,1
12/15/17,0.016666667,1
12/18/17,0,0
12/19/17,0,0
12/20/17,0.55,1
12/21/17,0.55,1
12/22/17,0,0
12/26/17,0.561904762,1
12/27/17,0,0
12/28/17,-0.5,-1
12/29/17,0,0
1/2/18,0,0
1/3/18,0.5,1
1/4/18,0,0
1/5/18,0,0
1/8/18,0,0
1/9/18,0,0
1/10/18,0,0
1/11/18,0,0
1/12/18,0,0
1/16/18,0.55,1
1/17/18,0,0
1/18/18,0.375,1
1/19/18,-0.5,-1
1/22/18,0,0
1/23/18,0,0
1/24/18,-0.25,-1
1/25/18,0,0
1/26/18,0,0
1/29/18,0,0
1/30/18,0.016666667,1
1/31/18,0,0
2/1/18,-0.5,-1
2/2/18,0.016666667,1
2/5/18,0.375,1
2/6/18,0,0
2/7/18,0,0
2/8/18,0,0
2/9/18,0,0
2/12/18,0.433333333,1
2/13/18,0,0
2/14/18,0,0
2/15/18,0,0
2/16/18,0,0
2/20/18,0,0
2/21/18,0,0
2/22/18,0.016666667,1
2/23/18,0,0
2/26/18,0,0
2/27/18,0.016666667,1
2/28/18,0,0
3/1/18,0,0
3/2/18,0,0
3/5/18,0,0
3/6/18,0.025,1
3/7/18,0.6,1
3/8/18,0.166666667,1
3/9/18,0.025,1
3/12/18,0,0
3/13/18,0,0
3/14/18,0.2,1
3/15/18,0.211038961,1
3/16/18,0,0
3/19/18,0,0
3/20/18,-0.125,-1
3/21/18,0,0
3/22/18,0.3,1
3/23/18,0,0
3/26/18,-0.085416667,-1
3/27/18,0,0
3/28/18,0.375,1
3/29/18,0,0
4/2/18,0.016666667,1
4/3/18,-0.055555556,-1
4/4/18,0.4,1
4/5/18,-0.125,-1
4/6/18,-0.5,-1
4/9/18,0,0
4/10/18,0,0
4/11/18,0,0
4/12/18,-0.25,-1
4/13/18,-0.15,-1
4/16/18,0.016666667,1
4/17/18,-0.275,-1
4/18/18,-0.1,-1
4/19/18,0.5,1
4/20/18,0.3375,1
4/23/18,0.5,1
4/24/18,0.55,1
4/25/18,0.375,1
4/26/18,0,0
4/27/18,0,0
4/30/18,0,0
5/1/18,0.125,1
5/2/18,0.016666667,1
5/3/18,0.016666667,1
5/4/18,0.55,1
5/7/18,0.45,1
5/8/18,0.6,1
5/9/18,0.016666667,1
5/10/18,0.016666667,1
5/11/18,-0.125,-1
5/14/18,0,0
5/15/18,0,0
5/16/18,0,0
5/17/18,-0.018181818,-1
5/18/18,0.55,1
5/21/18,0.142424242,1
5/22/18,0,0
5/23/18,0,0
5/24/18,0,0
5/25/18,0.55,1
5/29/18,0,0
5/30/18,0.5,1
5/31/18,0,0
6/1/18,0.55,1
6/4/18,0.016666667,1
6/5/18,0,0
6/6/18,0,0
6/7/18,0,0
6/8/18,-0.3,-1
6/11/18,0,0
6/12/18,0,0
6/13/18,-0.275,-1
6/14/18,0,0
6/15/18,-0.291666667,-1
6/18/18,0,0
6/19/18,-0.625,-1
6/20/18,0.35,1
6/21/18,0.6,1
6/22/18,-0.4,-1
6/25/18,0.2,1
6/26/18,0.375,1
6/27/18,0.625,1
6/28/18,0.375,1
6/29/18,0,0
7/2/18,0,0
7/3/18,0.65,1
7/5/18,0,0
7/6/18,0.375,1
7/9/18,0,0
7/10/18,-0.0625,-1
7/11/18,0.8,1
7/12/18,0.6,1
7/13/18,0.016666667,1
7/16/18,0,0
7/17/18,0,0
7/18/18,0,0
7/19/18,0,0
7/20/18,0.1,1
7/23/18,0,0
7/24/18,0,0
7/25/18,0,0
7/26/18,0.61,1
7/27/18,-0.4,-1
7/30/18,0,0
7/31/18,0,0
8/1/18,0,0
8/2/18,0.016666667,1
8/3/18,0.016666667,1
