,trend_kst,trend_kst_sig,trend_kst_diff,Zero,converted,side,signal,entry/exit
134,-14.42525595337015,-30.09349443202926,15.668238478659108,0,1,,1.0,0.0
135,-13.234776093767705,-26.23716483518557,13.002388741417866,0,1,,1.0,0.0
136,-12.082216938656886,-22.722434820076426,10.640217881419543,0,1,,1.0,0.0
137,-6.421921304036653,-19.158351573635738,12.736430269599087,0,1,,1.0,0.0
138,2.2202407779135567,-15.315199407483634,17.535440185397192,0,1,,1.0,0.0
139,8.013536159730181,-11.088020574205935,19.101556733936114,0,1,,1.0,0.0
140,16.660356796544637,-6.314821502801225,22.975178299345867,0,1,,1.0,0.0
141,5.599675889888287,-3.2277810943755822,8.827456984263867,0,1,,1.0,0.0
142,-8.027630669228332,-2.410887926109133,-5.6167427431192,0,-1,,0.0,-1.0
143,-21.207381106695333,-3.1644573875897084,-18.042923719105627,0,-1,,0.0,0.0
144,-35.058349976456626,-5.589298930110698,-29.46905104634592,0,-1,,0.0,0.0
145,-48.6498504199731,-9.652369316923613,-38.99748110304948,0,-1,,0.0,0.0
146,-62.03165089463775,-15.831228160323729,-46.200422734314,0,-1,,0.0,0.0
147,-78.8894804890224,-24.843419412205506,-54.046061076816905,0,-1,,0.0,0.0
148,-92.7473841683231,-36.03907722643365,-56.70830694188946,0,-1,,0.0,0.0
149,-105.01534358779436,-49.558599491360205,-55.45674409643414,0,-1,,0.0,0.0
150,-116.97697013861557,-63.17822682786064,-53.798743310754936,0,-1,,0.0,0.0
151,-119.74541448966173,-75.59131391901991,-44.15410057064183,0,-1,,0.0,0.0
152,-125.83619425999281,-87.21673760271963,-38.619456657273204,0,-1,,0.0,0.0
153,-133.2209094216646,-98.12368865218716,-35.09722076947743,0,-1,,0.0,0.0
154,-137.6620474671045,-108.0139327685351,-29.648114698569387,0,-1,,0.0,0.0
155,-140.90429163631026,-116.7775595176098,-24.126732118700414,0,-1,,0.0,0.0
156,-142.00487078137076,-123.79038066120407,-18.214490120166676,0,-1,,0.0,0.0
157,-138.68524456144038,-128.89458737155044,-9.79065718988994,0,-1,,0.0,0.0
158,-134.5116333569321,-132.17195290145463,-2.339680455477435,0,-1,,0.0,0.0
159,-129.08709408766396,-133.51752222912668,4.430428141462727,0,1,,1.0,1.0
160,-127.31965201633275,-134.35910417653454,7.039452160201819,0,1,,1.0,0.0
161,-122.06735107878772,-133.94034382306734,11.8729927442796,0,1,,1.0,0.0
162,-113.91387288091082,-131.79511754076134,17.881244659850523,0,1,,1.0,0.0
163,-102.55098344579115,-127.89388820505987,25.342904759268702,0,1,,1.0,0.0
164,-90.9946507711312,-122.34837255337332,31.353721782242108,0,1,,1.0,0.0
